Name,Test Matches,Test Runs,Test Wickets,Test Catches,ODI Matches,ODI Runs,ODI Wickets,ODI Catches,T20 Matches,T20 Runs,T20 Wickets,T20 Catches,Total Matches,Total Runs,Total Wickets,Total Catches,Runs + Wickets + Catches
Vijay Merchant,10,859,0,7,0,0,0,0,0,0,0,0,10,859,0,7,866
Suryakumar Yadav,0,0,0,0,3,124,0,0,4,139,0,7,7,263,0,7,270
Harvinder Singh,3,6,4,0,16,6,24,6,0,0,0,0,19,12,28,6,46
Balwinder Sandhu,8,214,10,1,22,51,16,5,0,0,0,0,30,265,26,6,297
Ashok Malhotra,7,226,0,2,20,457,0,4,0,0,0,0,27,683,0,6,689
Abbas Ali Baig,10,428,0,6,0,0,0,0,0,0,0,0,10,428,0,6,434
Karun Nair,6,374,0,6,2,46,0,0,0,0,0,0,8,420,0,6,426
Abhinav Mukund,7,320,0,6,0,0,0,0,0,0,0,0,7,320,0,6,326
Dilawar Hussain,3,254,0,6,0,0,0,0,0,0,0,0,3,254,0,6,260
Yalaka Venugopal Rao,0,0,0,0,16,218,0,6,0,0,0,0,16,218,0,6,224
Jacob Martin,0,0,0,0,10,158,0,6,0,0,0,0,10,158,0,6,164
Chandrasekhar Gadkari,6,129,0,6,0,0,0,0,0,0,0,0,6,129,0,6,135
Kumar Indrajitsinhji,4,51,0,6,0,0,0,0,0,0,0,0,4,51,0,6,57
Buck Divecha,5,60,11,5,0,0,0,0,0,0,0,0,5,60,11,5,76
Joginder Sharma,0,0,0,0,4,35,1,3,4,0,4,2,8,35,5,5,45
Surinder Amarnath,10,550,1,4,3,100,0,1,0,0,0,0,13,650,1,5,656
Rohan Gavaskar,0,0,0,0,11,151,1,5,0,0,0,0,11,151,1,5,157
Prithvi Shaw,5,339,0,2,6,189,0,2,1,0,0,1,12,528,0,5,533
Shubman Gill,8,414,0,5,3,49,0,0,0,0,0,0,11,463,0,5,468
Datta Gaekwad,11,350,0,5,0,0,0,0,0,0,0,0,11,350,0,5,355
Ghulam Parkar,1,7,0,1,10,165,0,4,0,0,0,0,11,172,0,5,177
Pananmal Punjabi,5,164,0,5,0,0,0,0,0,0,0,0,5,164,0,5,169
Abey Kuruvilla,10,66,25,0,25,26,25,4,0,0,0,0,35,92,50,4,146
Khaleel Ahmed,0,0,0,0,11,9,15,1,14,1,13,3,25,10,28,4,42
Surendranath,11,136,26,4,0,0,0,0,0,0,0,0,11,136,26,4,166
Gopal Sharma,5,11,10,2,11,11,10,2,0,0,0,0,16,22,20,4,46
Mohammed Siraj,5,39,16,3,1,0,0,0,3,0,3,1,9,39,19,4,62
Rahul Sanghvi,1,2,2,0,10,8,10,4,0,0,0,0,11,10,12,4,26
A. G. Kripal Singh,14,422,10,4,0,0,0,0,0,0,0,0,14,422,10,4,436
C. K. Nayudu,7,350,9,4,0,0,0,0,0,0,0,0,7,350,9,4,363
V. R. V. Singh,5,47,8,1,2,8,0,3,0,0,0,0,7,55,8,4,67
Vivek Razdan,2,6,5,0,3,23,1,4,0,0,0,0,5,29,6,4,39
Manoj Tiwary,0,0,0,0,12,287,5,4,0,0,0,0,12,287,5,4,296
Sairaj Bahutule,2,39,3,1,8,23,2,3,0,0,0,0,10,62,5,4,71
Srinivasaraghavan Venkataraghavan,0,0,0,0,15,54,5,4,0,0,0,0,15,54,5,4,63
Jahangir Khan,4,39,4,4,0,0,0,0,0,0,0,0,4,39,4,4,47
Dilip Sardesai,30,2001,0,4,0,0,0,0,0,0,0,0,30,2001,0,4,2005
Jayasinghrao Ghorpade,8,229,0,4,0,0,0,0,0,0,0,0,8,229,0,4,233
Surinder Khanna,0,0,0,0,10,176,0,4,0,0,0,0,10,176,0,4,180
Sanju Samson,0,0,0,0,1,46,0,0,10,117,0,4,11,163,0,4,167
Atul Bedade,0,0,0,0,13,158,0,4,0,0,0,0,13,158,0,4,162
Naman Ojha,1,56,0,4,1,1,0,0,2,12,0,0,4,69,0,4,73
Ramesh Powar,2,13,6,0,31,163,34,3,0,0,0,0,33,176,40,3,219
Amar Singh,7,292,28,3,0,0,0,0,0,0,0,0,7,292,28,3,323
Jaydev Unadkat,1,2,0,0,7,0,8,0,10,0,14,3,18,2,22,3,27
Atul Wassan,4,94,10,1,9,33,11,2,0,0,0,0,13,127,21,3,151
Raju Kulkarni,3,2,5,1,10,33,10,2,0,0,0,0,13,35,15,3,53
Sarandeep Singh,3,43,10,1,5,47,3,2,0,0,0,0,8,90,13,3,106
Nilesh Kulkarni,3,5,2,1,10,11,11,2,0,0,0,0,13,16,13,3,32
Rahul Chahar,0,0,0,0,1,13,3,0,5,5,7,3,6,18,10,3,31
Thirunavukkarasu Kumaran,0,0,0,0,8,19,9,3,0,0,0,0,8,19,9,3,31
Subroto Banerjee,1,3,3,0,6,49,5,3,0,0,0,0,7,52,8,3,63
Jai Yadav,0,0,0,0,12,81,6,3,0,0,0,0,12,81,6,3,90
Hanuma Vihari,12,624,5,3,0,0,0,0,0,0,0,0,12,624,5,3,632
Karn Sharma,1,8,4,0,2,0,0,3,1,0,1,0,4,8,5,3,16
Montu Banerjee,1,0,5,3,0,0,0,0,0,0,0,0,1,0,5,3,8
Gul Mohammad,8,166,2,3,0,0,0,0,0,0,0,0,8,166,2,3,171
C. S. Nayudu,11,147,2,3,0,0,0,0,0,0,0,0,11,147,2,3,152
Pankaj Singh,2,10,2,2,1,3,0,1,0,0,0,0,3,13,2,3,18
Manohar Hardikar,2,56,1,3,0,0,0,0,0,0,0,0,2,56,1,3,60
M. J. Gopalan,1,18,1,3,0,0,0,0,0,0,0,0,1,18,1,3,22
Rusi Modi,10,736,0,3,0,0,0,0,0,0,0,0,10,736,0,3,739
Devang Gandhi,4,204,0,3,3,49,0,0,0,0,0,0,7,253,0,3,256
Amay Khurasiya,0,0,0,0,12,149,0,3,0,0,0,0,12,149,0,3,152
Lalchand Rajput,2,105,0,1,4,9,0,2,0,0,0,0,6,114,0,3,117
Dattaram Hindlekar,4,71,0,3,0,0,0,0,0,0,0,0,4,71,0,3,74
Gursharan Singh,1,18,0,2,1,4,0,1,0,0,0,0,2,22,0,3,25
Chandrakant Patankar,1,14,0,3,0,0,0,0,0,0,0,0,1,14,0,3,17
Ashok Dinda,0,0,0,0,13,21,12,1,9,22,17,1,22,43,29,2,74
Varun Aaron,9,35,18,1,9,8,11,1,0,0,0,0,18,43,29,2,74
Jasu Patel,7,25,29,2,0,0,0,0,0,0,0,0,7,25,29,2,56
Mohammad Nissar,6,55,25,2,0,0,0,0,0,0,0,0,6,55,25,2,82
Dhawal Kulkarni,0,0,0,0,12,27,19,2,2,1,3,0,14,28,22,2,52
Salil Ankola,1,6,2,0,20,34,13,2,0,0,0,0,21,40,15,2,57
Aashish Kapoor,4,97,6,1,17,43,8,1,0,0,0,0,21,140,14,2,156
Jayant Yadav,4,228,11,1,1,1,1,1,0,0,0,0,5,229,12,2,243
Vaman Kumar,2,6,7,2,0,0,0,0,0,0,0,0,2,6,7,2,15
Bharat Arun,2,4,4,2,4,21,1,0,0,0,0,0,6,25,5,2,32
Yograj Singh,1,10,1,0,6,1,4,2,0,0,0,0,7,11,5,2,18
Prashant Vaidya,0,0,0,0,4,15,4,2,0,0,0,0,4,15,4,2,21
Aavishkar Salvi,0,0,0,0,4,4,4,2,0,0,0,0,4,4,4,2,10
Subrata Guha,4,17,3,2,0,0,0,0,0,0,0,0,4,17,3,2,22
Ghulam Guard,2,11,3,2,0,0,0,0,0,0,0,0,2,11,3,2,16
Chetan Sakariya,0,0,0,0,1,0,2,2,2,5,1,0,3,5,3,2,10
Sudeep Tyagi,0,0,0,0,4,1,3,1,1,0,0,1,5,1,3,2,6
Ranga Sohoni,4,83,2,2,0,0,0,0,0,0,0,0,4,83,2,2,87
Suru Nayak,2,19,1,1,4,3,1,1,0,0,0,0,6,22,2,2,26
Rishi Dhawan,0,0,0,0,3,12,1,0,1,1,1,2,4,13,2,2,17
C. D. Gopinath,8,242,1,2,0,0,0,0,0,0,0,0,8,242,1,2,245
Pawan Negi,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,2,3
Madhav Apte,7,542,0,2,0,0,0,0,0,0,0,0,7,542,0,2,544
Subramaniam Badrinath,2,63,0,0,7,79,0,2,1,43,0,0,10,185,0,2,187
Ishan Kishan,0,0,0,0,2,60,0,2,3,80,0,0,5,140,0,2,142
A. G. Milkha Singh,4,92,0,2,0,0,0,0,0,0,0,0,4,92,0,2,94
Yadavindra Singh,1,84,0,2,0,0,0,0,0,0,0,0,1,84,0,2,86
Sorabji Colah,2,69,0,2,0,0,0,0,0,0,0,0,2,69,0,2,71
Jatin Paranjpe,0,0,0,0,4,54,0,2,0,0,0,0,4,54,0,2,56
Saurabh Tiwary,0,0,0,0,3,49,0,2,0,0,0,0,3,49,0,2,51
Manoj Tiwari,0,0,0,0,0,0,0,0,3,15,0,2,3,15,0,2,17
Jenni Irani,2,3,0,2,0,0,0,0,0,0,0,0,2,3,0,2,5
Ebrahim Maka,2,2,0,2,0,0,0,0,0,0,0,0,2,2,0,2,4
Deepak Chahar,0,0,0,0,5,87,6,1,14,1,20,0,19,88,26,1,115
Vasant Ranjane,7,40,19,1,0,0,0,0,0,0,0,0,7,40,19,1,60
Barinder Sran,0,0,0,0,6,0,7,1,2,0,6,0,8,0,13,1,14
Abhimanyu Mithun,4,120,9,0,5,51,3,1,0,0,0,0,9,171,12,1,184
Tinu Yohannan,3,13,5,1,3,7,5,0,0,0,0,0,6,20,10,1,31
Sridharan Sriram,0,0,0,0,8,81,9,1,0,0,0,0,8,81,9,1,91
Rahul Sharma,0,0,0,0,4,1,6,1,2,0,3,0,6,1,9,1,11
Shahbaz Nadeem,2,1,8,1,0,0,0,0,0,0,0,0,2,1,8,1,10
Ashok Patel,0,0,0,0,8,6,7,1,0,0,0,0,8,6,7,1,14
Paras Mhambrey,2,58,2,1,3,7,3,0,0,0,0,0,5,65,5,1,71
Siddarth Kaul,0,0,0,0,3,1,0,1,3,0,4,0,6,1,4,1,6
Utpal Chatterjee,0,0,0,0,3,6,3,1,0,0,0,0,3,6,3,1,10
M. Venkataramana,1,0,1,1,1,0,2,0,0,0,0,0,2,0,3,1,4
Robin Singh Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadashiv Patil,1,14,2,1,0,0,0,0,0,0,0,0,1,14,2,1,17
Saradindu Mukherjee,0,0,0,0,3,2,2,1,0,0,0,0,3,2,2,1,5
Iqbal Siddiqui,1,29,1,1,0,0,0,0,0,0,0,0,1,29,1,1,31
Laxmi Ratan Shukla,0,0,0,0,3,18,1,1,0,0,0,0,3,18,1,1,20
Krishnappa Gowtham,0,0,0,0,1,2,1,1,0,0,0,0,1,2,1,1,4
Bal Dani,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2
Vijay Mehra,8,329,0,1,0,0,0,0,0,0,0,0,8,329,0,1,330
Ramnath Kenny,5,245,0,1,0,0,0,0,0,0,0,0,5,245,0,1,246
Wazir Ali,7,237,0,1,0,0,0,0,0,0,0,0,7,237,0,1,238
Parthasarathy Sharma,5,187,0,1,2,20,0,0,0,0,0,0,7,207,0,1,208
Deepak Shodhan,3,181,0,1,0,0,0,0,0,0,0,0,3,181,0,1,182
Gogumal Kishenchand,5,89,0,1,0,0,0,0,0,0,0,0,5,89,0,1,90
Mandeep Singh,0,0,0,0,0,0,0,0,3,87,0,1,3,87,0,1,88
Prakash Bhandari,3,77,0,1,0,0,0,0,0,0,0,0,3,77,0,1,78
Pranab Roy,2,71,0,1,0,0,0,0,0,0,0,0,2,71,0,1,72
Nawab of Pataudi Sr,3,55,0,1,0,0,0,0,0,0,0,0,3,55,0,1,56
Ashok Gandotra,2,54,0,1,0,0,0,0,0,0,0,0,2,54,0,1,55
Lall Singh,1,44,0,1,0,0,0,0,0,0,0,0,1,44,0,1,45
Janardan Navle,2,42,0,1,0,0,0,0,0,0,0,0,2,42,0,1,43
Ruturaj Gaikwad,0,0,0,0,0,0,0,0,2,35,0,1,2,35,0,1,36
Khandu Rangnekar,3,33,0,1,0,0,0,0,0,0,0,0,3,33,0,1,34
Vijay Ananda Gajapathi Raju,3,33,0,1,0,0,0,0,0,0,0,0,3,33,0,1,34
Madhusudan Rege,1,15,0,1,0,0,0,0,0,0,0,0,1,15,0,1,16
Gurkeerat Singh,0,0,0,0,3,13,0,1,0,0,0,0,3,13,0,1,14
Sudhakar Rao,0,0,0,0,1,4,0,1,0,0,0,0,1,4,0,1,5
Ladha Ramji,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2
Rashid Patel,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,1
Khershed Meherhomji,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Sadashiv Shinde,7,85,12,0,0,0,0,0,0,0,0,0,7,85,12,0,97
T. Natarajan,0,0,0,0,2,0,3,0,4,0,7,0,6,0,10,0,10
C. R. Rangachari,4,8,9,0,0,0,0,0,0,0,0,0,4,8,9,0,17
Syed Abid Ali,0,0,0,0,5,93,7,0,0,0,0,0,5,93,7,0,100
Dodda Ganesh,4,25,5,0,1,4,1,0,0,0,0,0,5,29,6,0,35
Prasidh Krishna,0,0,0,0,3,0,6,0,0,0,0,0,3,0,6,0,6
Umesh Kulkarni,4,13,5,0,0,0,0,0,0,0,0,0,4,13,5,0,18
Shute Banerjee,1,13,5,0,0,0,0,0,0,0,0,0,1,13,5,0,18
T. A. Sekhar,2,0,0,0,4,0,5,0,0,0,0,0,6,0,5,0,5
Amit Bhandari,0,0,0,0,2,0,5,0,0,0,0,0,2,0,5,0,5
Nazir Ali,2,30,4,0,0,0,0,0,0,0,0,0,2,30,4,0,34
Noel David,0,0,0,0,4,9,4,0,0,0,0,0,4,9,4,0,13
Raghuram Bhat,2,6,4,0,0,0,0,0,0,0,0,0,2,6,4,0,10
Chandu Sarwate,9,208,3,0,0,0,0,0,0,0,0,0,9,208,3,0,211
Baloo Gupte,3,28,3,0,0,0,0,0,0,0,0,0,3,28,3,0,31
V. M. Muddiah,2,11,3,0,0,0,0,0,0,0,0,0,2,11,3,0,14
David Johnson,2,8,3,0,0,0,0,0,0,0,0,0,2,8,3,0,11
Shah Nyalchand,1,7,3,0,0,0,0,0,0,0,0,0,1,7,3,0,10
Bhupinder Singh Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parvez Rasool,0,0,0,0,1,0,2,0,1,5,1,0,2,5,3,0,8
Rustomji Jamshedji,1,5,3,0,0,0,0,0,0,0,0,0,1,5,3,0,8
Gundibail Sunderam,2,3,3,0,0,0,0,0,0,0,0,0,2,3,3,0,6
Rajinder Ghai,0,0,0,0,6,1,3,0,0,0,0,0,6,1,3,0,4
Thangarasu Natarajan,1,1,3,0,0,0,0,0,0,0,0,0,1,1,3,0,4
Naoomal Jeoomal,3,108,2,0,0,0,0,0,0,0,0,0,3,108,2,0,110
Ajit Pai,1,10,2,0,0,0,0,0,0,0,0,0,1,10,2,0,12
Varun Chakravarthy,0,0,0,0,0,0,0,0,3,0,2,0,3,0,2,0,2
Manpreet Gony,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,2
Rakesh Shukla,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2
Gopal Bose,0,0,0,0,1,13,1,0,0,0,0,0,1,13,1,0,14
Sanjay Raul,0,0,0,0,2,8,1,0,0,0,0,0,2,8,1,0,9
Nirode Chowdhury,2,3,1,0,0,0,0,0,0,0,0,0,2,3,1,0,4
Sandeep Sharma,0,0,0,0,0,0,0,0,2,1,1,0,2,1,1,0,2
Dhiraj Parsana,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,2
Randhir Singh,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,1
Sreenath Aravind,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
Sudhir Naik,3,141,0,0,2,38,0,0,0,0,0,0,5,179,0,0,179
Cotah Ramaswami,2,170,0,0,0,0,0,0,0,0,0,0,2,170,0,0,170
Khanmohammad Ibrahim,4,169,0,0,0,0,0,0,0,0,0,0,4,169,0,0,169
Gagan Khoda,0,0,0,0,2,115,0,0,0,0,0,0,2,115,0,0,115
Hemant Kanitkar,2,111,0,0,0,0,0,0,0,0,0,0,2,111,0,0,111
Ambar Roy,4,91,0,0,0,0,0,0,0,0,0,0,4,91,0,0,91
V. B. Chandrasekhar,0,0,0,0,7,88,0,0,0,0,0,0,7,88,0,0,88
Abdul Hafeez,3,80,0,0,0,0,0,0,0,0,0,0,3,80,0,0,80
Ramnath Parkar,2,80,0,0,0,0,0,0,0,0,0,0,2,80,0,0,80
T. E. Srinivasan,1,48,0,0,2,10,0,0,0,0,0,0,3,58,0,0,58
Faiz Fazal,0,0,0,0,1,55,0,0,0,0,0,0,1,55,0,0,55
Devdutt Padikkal,0,0,0,0,0,0,0,0,2,38,0,0,2,38,0,0,38
Phiroze Palia,2,29,0,0,0,0,0,0,0,0,0,0,2,29,0,0,29
Kanwar Rai Singh,1,26,0,0,0,0,0,0,0,0,0,0,1,26,0,0,26
Ramesh Saxena,1,25,0,0,0,0,0,0,0,0,0,0,1,25,0,0,25
Nitish Rana,0,0,0,0,1,7,0,0,2,15,0,0,3,22,0,0,22
Hiralal Gaekwad,1,22,0,0,0,0,0,0,0,0,0,0,1,22,0,0,22
L. P. Jai,1,19,0,0,0,0,0,0,0,0,0,0,1,19,0,0,19
Amir Elahi,1,17,0,0,0,0,0,0,0,0,0,0,1,17,0,0,17
Sujith Somasunder,0,0,0,0,2,16,0,0,0,0,0,0,2,16,0,0,16
Baqa Jilani,1,16,0,0,0,0,0,0,0,0,0,0,1,16,0,0,16
Arvind Apte,1,15,0,0,0,0,0,0,0,0,0,0,1,15,0,0,15
Abhijit Kale,0,0,0,0,1,10,0,0,0,0,0,0,1,10,0,0,10
Apoorva Sengupta,1,9,0,0,0,0,0,0,0,0,0,0,1,9,0,0,9
Pankaj Dharmani,0,0,0,0,1,8,0,0,0,0,0,0,1,8,0,0,8
Rajinder Pal,1,6,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6
Kenia Jayantilal,1,5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5
Gyanendra Pandey,0,0,0,0,2,4,0,0,0,0,0,0,2,4,0,0,4
Man Sood,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3
Keki Tarapore,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2
Abhishek Nayar,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
Parvinder Awana,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
Mayank Markande,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Sandeep Warrier,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Narain Swamy,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Vijay Rajindernath,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mahendra Singh Dhoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anil Kumble1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashish Nehra1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
